job_id,exp_lvl_id,emp_type_id,cmp_size_id,comp_loc_id,emp_residence_id,industry_id,remote_ratio,edu_level_id,primary_lang_id,manages_people,team_size,certifications_count,weekly_hours,salary_usd,equity_offered_pct,bonus_pct,job_satisfaction_score
1,1,1,1,1,1,1,0,1,1,1,5,0,48,23844,0.505,11.6,5.5
2,4,2,3,5,1,1,0,2,1,0,12,3,36.1,112968,0.036,11,7.7
5,2,2,3,4,4,1,100,2,1,0,9,1,54.6,97827,0.131,12.2,7.9
1,3,2,3,2,2,2,0,2,1,0,11,3,49.8,64165,0.187,12.7,7.3
2,1,2,3,1,6,7,100,2,1,1,8,1,51.3,60087,0.259,20.3,5.3
3,3,2,3,2,2,3,0,3,1,0,4,1,55.1,83059,0.191,7.5,5.9
2,2,2,2,2,2,2,50,2,2,0,6,1,41.6,170132,0.054,2.9,7
4,2,2,3,3,3,3,100,2,3,0,6,2,41.1,29531,0.102,9.3,5.6
4,4,2,3,2,2,4,0,1,1,0,13,2,48.2,70105,0.064,10.6,4.6
6,2,2,3,2,2,5,0,1,1,0,6,1,48.4,120062,0.039,13,5.5
7,2,2,3,2,2,6,0,1,1,0,9,0,47.5,188326,0.053,18.9,4.9
4,3,1,2,6,5,6,0,4,2,0,8,2,44.8,26464,0.044,0,6.2
8,4,3,2,6,5,5,0,1,2,0,6,1,47.6,112063,0.027,6.5,6.9
5,3,2,2,2,2,6,50,1,2,0,11,1,43.3,75169,0.065,4.3,6.1
3,4,4,2,7,7,5,50,2,2,0,5,1,42.5,123386,0.07,10.2,9.1
9,3,2,3,8,6,6,0,2,2,0,11,2,36.3,61792,0,6.3,9
3,3,2,2,2,2,5,0,2,2,0,5,2,38.3,121126,0.005,4.3,7.5
4,4,2,2,2,2,8,50,4,1,0,5,3,49.5,127602,0.046,7.3,6.6
1,3,3,1,9,8,7,0,1,2,0,7,0,43.6,24899,0,7,5.5
1,4,2,1,9,8,2,50,1,1,0,6,1,42.8,29902,0.344,4.2,4.3
3,2,2,2,2,3,5,100,2,1,0,6,3,44.4,267112,0,13.9,7.6
3,4,2,3,6,5,2,50,2,1,0,12,0,32.6,95682,0.005,14.6,7.4
2,3,2,3,1,3,9,50,5,4,0,13,1,34.9,32162,0.133,19.5,6.8
10,3,2,3,1,3,5,100,1,2,1,4,1,42.9,24840,0.19,6.1,5.7
3,3,4,2,2,2,10,100,1,1,0,8,0,37.1,128115,0.056,6,7.6
4,2,2,1,1,3,5,50,2,4,0,7,0,51.6,47620,0.496,15.7,6.9
1,4,2,3,8,6,9,100,1,1,0,10,2,56.8,47829,0.369,8.6,4.3
11,1,2,2,2,2,1,100,1,1,1,14,3,47.8,221527,0.016,14,4.9
3,4,2,3,6,5,4,100,1,1,0,18,1,44.4,95058,0,2.9,6.1
4,2,2,3,2,2,4,0,3,2,0,4,2,41.2,93560,0,13.4,7
1,2,2,3,9,8,10,50,1,1,0,8,3,41.2,49555,0.053,9.2,4.8
6,2,2,3,1,3,1,50,1,1,1,12,3,48.8,30459,0.133,7.3,6.3
5,2,2,2,1,3,6,0,3,4,0,6,4,56.3,39008,0.02,10.9,5.8
11,4,2,1,1,3,1,0,3,2,0,5,2,40.2,24260,0.768,5.9,4.8
4,3,2,3,2,5,8,50,2,1,0,9,4,46.9,113587,0.054,13.3,7.6
8,3,2,3,10,2,2,50,4,5,0,6,1,44.5,63639,0.18,9.5,8.4
11,4,2,3,1,3,5,0,1,1,0,12,0,41.2,38694,0.076,9,8.2
3,1,2,1,1,3,8,100,2,1,1,6,4,38.5,45726,1.225,13.1,7
6,4,1,3,2,2,1,0,1,1,0,5,3,47.2,45653,0.101,10.2,7.3
4,1,2,2,7,7,5,100,1,1,1,8,2,43.3,139305,0.001,25.9,7.6
12,4,2,2,10,9,3,100,4,2,0,6,1,47.6,53183,0.029,7.6,5.8
4,5,2,3,1,2,5,100,2,1,1,7,4,36.5,76753,0.105,16.9,6.7
1,1,2,2,5,1,8,100,5,2,1,7,1,41.4,135285,0.006,21.4,7.6
12,3,2,1,9,8,4,50,2,1,0,8,4,42.2,34110,0.278,3.3,6.9
1,2,2,3,2,2,5,0,5,1,0,10,3,53,172487,0.222,11.8,4.5
3,1,2,3,1,2,1,100,5,1,1,8,4,50.7,69827,0.083,13.7,7.2
11,4,3,3,11,2,7,100,4,1,1,8,2,45.3,91428,0.038,6.6,5.3
1,4,3,3,1,3,8,0,1,1,0,4,0,43.5,20358,0.075,15.4,9.3
12,2,2,3,3,10,5,0,5,1,0,7,0,57,47335,0.108,13.6,5.9
11,2,2,2,6,5,5,100,2,1,0,9,2,42.3,151394,0.047,5.8,8
11,2,2,1,2,2,6,0,2,1,1,12,2,46.9,195720,0.525,9.9,5.6
4,3,2,3,3,10,1,0,1,1,0,5,2,41.5,29965,0.037,2,5.3
3,1,4,2,2,2,2,0,5,1,1,8,2,48.8,276910,0.025,11.6,6.1
3,3,2,1,2,2,1,0,2,1,0,10,1,53.3,104896,0.272,6.6,6.4
3,4,2,2,11,11,5,0,1,6,0,10,2,49.8,83238,0.03,8.7,5.2
2,2,2,3,3,10,7,100,2,1,0,7,3,42.4,38007,0.081,9.3,6.2
11,4,2,3,2,2,5,0,1,3,0,6,1,46.1,169730,0.047,7,6.7
3,1,2,2,5,1,10,0,5,1,1,5,1,44.8,179645,0.023,21.1,5.4
10,4,2,3,2,2,6,0,1,4,0,11,2,41.8,120239,0.015,8.7,7.3
5,4,4,3,6,5,6,100,2,6,0,10,1,59.8,60384,0.057,13.5,5.8
3,2,2,2,2,2,1,100,1,1,0,9,2,45.5,245491,0.003,16,6.5
4,2,2,3,6,5,2,0,1,1,0,9,3,45.9,84140,0.064,9.3,6.7
3,4,2,2,9,5,5,100,2,1,0,10,2,52.4,99236,0.016,14.7,5.4
10,3,2,1,1,3,6,100,1,1,0,7,1,42.9,20350,0.091,7.1,8.3
6,4,2,3,2,2,1,0,1,1,0,5,1,52.6,97474,0.174,2.7,6.7
7,4,2,3,7,7,2,50,1,1,0,13,2,43.5,81977,0,8.6,7.5
10,1,2,3,2,2,1,100,1,3,1,9,2,44.1,197149,0,23.9,6.1
4,1,2,3,2,2,5,100,2,1,1,5,3,51.8,179885,0.169,24.2,7.6
12,2,2,3,1,3,2,50,1,1,0,5,1,51.2,49581,0.153,11.9,7.7
4,5,2,1,2,2,7,100,1,1,1,7,1,49.6,145188,0.204,17.3,3.7
11,4,1,3,5,1,3,50,1,1,1,6,1,32.7,48644,0.108,6,7.1
3,2,2,3,6,10,7,100,2,1,1,8,3,40.3,128061,0.012,13.9,4.3
5,4,2,2,2,10,3,100,1,1,0,11,1,42.8,103751,0,2.1,8.4
7,3,3,2,9,1,5,100,5,2,0,7,2,48.4,47457,0.014,8.4,4.6
6,3,2,3,7,7,7,50,1,1,0,2,3,44,36703,0.114,6.5,5
11,3,3,2,2,2,9,0,5,1,0,12,0,42.3,84722,0.051,3.9,5.9
1,3,2,3,9,8,6,50,2,2,0,8,4,50,20211,0.095,4.6,4.7
8,5,2,3,2,2,1,0,3,1,1,11,2,57.1,204902,0.036,14.9,6.5
10,3,2,3,2,2,5,0,1,1,0,6,1,46.6,94426,0.206,6.1,6.1
4,1,2,3,2,2,2,0,2,2,1,5,0,46.1,213117,0.239,11.2,6.2
4,1,2,2,8,1,7,100,5,3,1,11,1,41.6,191241,0.036,11.6,7.9
2,4,1,1,2,2,5,0,4,1,0,8,1,53.2,47234,0.137,7.4,4.9
3,4,2,3,8,6,2,50,5,4,0,12,4,36.1,90333,0.071,10.4,5.6
10,2,2,3,11,11,9,50,4,1,0,8,2,47.9,67204,0,13.4,6.6
10,4,2,3,4,4,1,0,2,1,0,6,1,46.7,88207,0.052,7.4,4.3
11,4,2,2,11,11,8,0,1,2,0,7,0,45.7,85637,0,8.8,7.4
3,3,2,3,10,9,5,0,4,1,0,6,2,54.9,63446,0.071,12.9,6.9
11,3,2,2,2,10,7,50,1,1,0,6,3,34.9,92547,0.013,8.6,6.1
